customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,support_tickets_90d,satisfaction_score,churn
CUST100091,27,59.64,1671.92,Two year,No,Credit card,Yes,2,2,0
CUST100092,23,88.28,1965.98,One year,Fiber optic,Electronic check,Yes,1,4,0
CUST100093,5,73.27,350.8,Month-to-month,DSL,Bank transfer,No,0,4,1
CUST100094,60,66.48,3718.36,Two year,No,Credit card,No,3,4,0
CUST100095,15,82.69,1174.86,One year,Fiber optic,Bank transfer,No,1,4,0
CUST100096,7,86.59,596.78,Two year,Fiber optic,Mailed check,No,0,2,0
CUST100097,32,95.39,2924.99,Month-to-month,Fiber optic,Electronic check,No,5,2,1
CUST100098,20,56.09,1118.74,Month-to-month,DSL,Electronic check,No,2,3,1
CUST100099,26,67.81,1691.17,One year,DSL,Mailed check,Yes,1,4,0
CUST100100,21,90.34,1804.18,One year,Fiber optic,Bank transfer,No,3,3,1
CUST100101,2,106.62,214.05,Month-to-month,Fiber optic,Electronic check,No,1,2,1
CUST100102,10,70.29,713.03,Month-to-month,DSL,Mailed check,No,2,3,1
CUST100103,9,52.45,490.68,One year,DSL,Bank transfer,No,2,3,0
CUST100104,38,99.09,3741.04,Two year,Fiber optic,Electronic check,Yes,3,3,0
CUST100105,20,74.67,1557.9,Month-to-month,DSL,Bank transfer,No,0,4,1
CUST100106,29,87.47,2405.12,Month-to-month,Fiber optic,Bank transfer,No,2,3,0
CUST100107,15,92.05,1365.18,Month-to-month,Fiber optic,Bank transfer,Yes,2,5,1
CUST100108,30,96.1,2825.41,Month-to-month,Fiber optic,Mailed check,No,4,3,1
CUST100109,18,47.33,860.52,Month-to-month,DSL,Mailed check,No,1,4,1
CUST100110,17,77.21,1247.06,Month-to-month,DSL,Mailed check,No,3,2,0
CUST100111,23,71.02,1530.46,One year,DSL,Bank transfer,Yes,1,5,0
CUST100112,21,105.38,2162.03,Month-to-month,Fiber optic,Bank transfer,Yes,6,4,1
CUST100113,72,112.47,8166.78,Month-to-month,Fiber optic,Bank transfer,Yes,0,4,0
CUST100114,9,95.01,866.54,Two year,Fiber optic,Electronic check,Yes,0,3,0
CUST100115,5,83.24,419.38,Month-to-month,Fiber optic,Credit card,No,4,2,1
CUST100116,25,60.09,1508.53,One year,DSL,Electronic check,No,0,2,0
CUST100117,11,80.76,835.79,Month-to-month,DSL,Electronic check,No,1,2,1
CUST100118,2,93.49,191.26,Two year,Fiber optic,Electronic check,Yes,1,4,0
CUST100119,8,79.73,633.27,Two year,Fiber optic,Credit card,No,1,4,0
CUST100120,72,93.36,6243.53,Month-to-month,Fiber optic,Bank transfer,No,2,4,0
CUST100121,9,63.39,543.82,One year,DSL,Credit card,No,1,2,1
CUST100122,3,86.25,247.0,One year,Fiber optic,Bank transfer,No,2,4,0
CUST100123,72,84.0,5668.67,Month-to-month,DSL,Credit card,Yes,3,4,0
CUST100124,7,101.53,666.91,One year,Fiber optic,Bank transfer,No,3,3,1
CUST100125,72,82.92,6184.36,Month-to-month,Fiber optic,Bank transfer,No,4,4,1
CUST100126,15,82.0,1203.56,Month-to-month,Fiber optic,Electronic check,No,1,5,1
CUST100127,61,65.86,3912.35,Two year,Fiber optic,Bank transfer,No,3,3,0
CUST100128,16,82.16,1347.87,Month-to-month,DSL,Bank transfer,Yes,0,4,1
CUST100129,28,67.1,1817.33,Month-to-month,Fiber optic,Electronic check,No,2,3,1
CUST100130,18,88.69,1534.78,Month-to-month,Fiber optic,Electronic check,Yes,5,3,1
CUST100131,17,91.19,1467.65,Two year,Fiber optic,Electronic check,Yes,3,4,0
CUST100132,24,86.71,1938.28,Month-to-month,Fiber optic,Electronic check,Yes,2,2,1
CUST100133,28,28.21,747.06,Month-to-month,No,Bank transfer,No,0,2,0
CUST100134,23,45.58,1076.05,One year,No,Mailed check,No,2,3,0
CUST100135,21,96.13,2005.24,One year,Fiber optic,Credit card,Yes,2,3,0
CUST100136,11,97.4,1067.6,Month-to-month,Fiber optic,Mailed check,No,2,4,1
CUST100137,19,94.02,1728.93,Two year,DSL,Bank transfer,Yes,0,3,0
CUST100138,56,76.42,4210.41,Month-to-month,DSL,Bank transfer,Yes,0,4,0
CUST100139,10,67.25,676.26,One year,DSL,Bank transfer,No,3,3,0
CUST100140,24,93.17,2178.16,One year,Fiber optic,Electronic check,Yes,3,4,0
CUST100141,45,102.34,4435.28,Month-to-month,Fiber optic,Mailed check,Yes,1,4,0
CUST100142,28,82.92,2211.81,Two year,Fiber optic,Electronic check,No,3,2,1
CUST100143,38,98.42,3543.77,One year,Fiber optic,Bank transfer,Yes,2,4,0
CUST100144,7,79.85,555.72,Month-to-month,DSL,Electronic check,Yes,4,3,1
CUST100145,24,62.25,1388.41,Month-to-month,No,Mailed check,No,3,3,0
CUST100146,16,72.17,1086.31,Month-to-month,Fiber optic,Credit card,No,0,2,1
CUST100147,16,77.45,1235.32,Two year,DSL,Bank transfer,Yes,1,4,0
CUST100148,53,87.31,4742.4,Month-to-month,Fiber optic,Electronic check,No,0,3,0
CUST100149,17,58.76,953.36,Two year,Fiber optic,Mailed check,No,1,3,0
CUST100150,25,77.73,1790.09,Month-to-month,DSL,Bank transfer,No,3,3,0
CUST100151,3,97.89,295.68,Two year,Fiber optic,Credit card,No,0,3,0
CUST100152,60,36.99,2053.72,Two year,No,Credit card,No,1,4,0
CUST100153,37,55.66,1983.71,Month-to-month,No,Electronic check,No,0,4,1
CUST100154,19,94.41,1755.13,Month-to-month,Fiber optic,Credit card,Yes,3,3,0
CUST100155,15,79.22,1209.95,Two year,Fiber optic,Electronic check,No,3,2,0
CUST100156,30,79.64,2438.0,Month-to-month,Fiber optic,Electronic check,Yes,2,3,0
CUST100157,44,42.21,1809.49,Month-to-month,No,Electronic check,No,0,3,0
CUST100158,61,92.85,5854.23,Two year,Fiber optic,Electronic check,No,1,4,0
CUST100159,36,77.8,2715.98,Two year,DSL,Mailed check,No,0,3,0
CUST100160,21,91.22,1880.52,One year,Fiber optic,Electronic check,No,3,3,0
CUST100161,40,64.32,2499.43,Two year,DSL,Electronic check,No,3,3,0
CUST100162,35,105.5,3694.24,One year,Fiber optic,Electronic check,Yes,1,4,0
CUST100163,21,60.12,1227.7,One year,No,Credit card,No,1,2,0
CUST100164,34,31.99,1132.3,Month-to-month,DSL,Bank transfer,No,3,3,0
CUST100165,34,108.62,3801.33,One year,Fiber optic,Bank transfer,Yes,1,4,0
CUST100166,19,96.65,1782.36,One year,Fiber optic,Credit card,Yes,3,3,0
CUST100167,13,73.63,883.62,One year,DSL,Bank transfer,Yes,0,3,0
CUST100168,32,33.89,1074.74,Two year,DSL,Electronic check,No,3,4,0
CUST100169,8,74.35,565.93,Month-to-month,No,Credit card,Yes,1,3,0
CUST100170,6,92.61,534.32,One year,Fiber optic,Mailed check,No,5,2,1
CUST100171,25,56.29,1378.61,Month-to-month,No,Mailed check,No,3,3,0
CUST100172,31,82.66,2625.43,Month-to-month,Fiber optic,Credit card,Yes,1,5,0
CUST100173,25,70.34,1788.7,Month-to-month,No,Electronic check,Yes,1,4,0
CUST100174,27,55.36,1483.54,Two year,No,Electronic check,No,1,4,0
CUST100175,31,67.94,2137.15,Month-to-month,DSL,Credit card,No,2,2,1
CUST100176,53,49.67,2527.07,One year,No,Mailed check,Yes,3,5,0
CUST100177,36,91.64,3246.6,One year,Fiber optic,Mailed check,Yes,3,3,0
CUST100178,35,49.7,1616.47,Two year,DSL,Credit card,No,1,2,0
CUST100179,24,84.51,1879.73,One year,Fiber optic,Credit card,No,2,4,0
CUST100180,24,98.64,2227.39,Month-to-month,Fiber optic,Credit card,Yes,3,3,1
CUST100181,18,59.85,1096.3,Month-to-month,DSL,Electronic check,No,0,3,0
CUST100182,27,62.9,1765.99,One year,No,Credit card,Yes,1,3,0
CUST100183,8,38.34,306.82,Month-to-month,No,Bank transfer,No,0,2,0
CUST100184,53,82.88,4064.49,Month-to-month,DSL,Bank transfer,Yes,2,3,0
CUST100185,10,48.56,486.07,Month-to-month,No,Electronic check,No,0,4,1
CUST100186,36,59.15,2035.23,Month-to-month,DSL,Bank transfer,No,2,3,0
CUST100187,48,92.06,4570.54,Two year,DSL,Electronic check,Yes,0,4,0
CUST100188,36,98.95,3615.64,Two year,Fiber optic,Credit card,No,3,3,0
CUST100189,72,61.48,4280.39,One year,DSL,Bank transfer,Yes,3,3,0
CUST100190,2,78.68,153.77,Month-to-month,DSL,Bank transfer,Yes,1,3,1
CUST100191,14,61.25,869.0,Two year,DSL,Electronic check,Yes,0,4,0
CUST100192,48,60.69,3031.51,One year,DSL,Mailed check,No,1,4,0
CUST100193,6,68.3,392.92,Two year,No,Mailed check,No,2,4,0
CUST100194,10,54.23,553.22,Month-to-month,No,Credit card,Yes,1,4,0
CUST100195,29,82.6,2418.04,Month-to-month,DSL,Bank transfer,Yes,1,4,0
CUST100196,21,76.42,1526.33,One year,DSL,Electronic check,Yes,0,4,0
CUST100197,28,94.65,2524.32,Two year,DSL,Mailed check,No,0,4,0
CUST100198,22,102.23,2131.45,Month-to-month,DSL,Electronic check,Yes,0,4,0
CUST100199,24,62.02,1402.98,Month-to-month,DSL,Mailed check,No,2,2,1
CUST100200,11,44.28,467.83,One year,No,Mailed check,No,4,2,0
CUST100201,23,57.79,1245.18,Two year,No,Electronic check,No,1,4,0
CUST100202,14,81.64,1088.99,One year,DSL,Electronic check,Yes,1,4,0
CUST100203,16,65.2,1008.74,Two year,Fiber optic,Bank transfer,No,2,3,1
CUST100204,36,54.28,1938.92,One year,DSL,Mailed check,No,5,2,0
CUST100205,6,52.51,307.72,Two year,No,Electronic check,No,4,2,0
CUST100206,1,49.92,47.98,Month-to-month,No,Bank transfer,No,0,3,0
CUST100207,34,63.41,2015.98,Month-to-month,No,Mailed check,No,1,4,0
CUST100208,23,63.46,1449.33,One year,DSL,Electronic check,No,3,4,0
CUST100209,48,89.86,4439.32,One year,DSL,Electronic check,Yes,2,4,0
CUST100210,10,84.3,842.89,Month-to-month,Fiber optic,Electronic check,No,2,1,1
CUST100211,19,77.62,1465.41,Month-to-month,DSL,Credit card,Yes,0,3,1
CUST100212,21,84.54,1721.83,One year,Fiber optic,Electronic check,No,3,3,0
CUST100213,12,67.36,799.5,Two year,No,Credit card,No,2,4,1
CUST100214,9,96.02,870.38,Month-to-month,Fiber optic,Mailed check,Yes,1,5,0
CUST100215,35,59.06,1979.68,Two year,No,Bank transfer,Yes,1,5,0
CUST100216,5,76.57,399.66,Month-to-month,DSL,Credit card,Yes,0,3,1
CUST100217,8,113.16,835.45,Month-to-month,Fiber optic,Electronic check,Yes,0,4,1
CUST100218,18,63.74,1105.51,Month-to-month,DSL,Bank transfer,No,0,4,1
CUST100219,38,67.04,2668.89,Month-to-month,DSL,Electronic check,Yes,1,2,0
CUST100220,13,60.53,806.86,Month-to-month,DSL,Electronic check,No,2,3,1
CUST100221,11,73.24,747.03,One year,DSL,Credit card,Yes,0,5,0
CUST100222,17,55.44,911.31,One year,DSL,Electronic check,Yes,1,4,0
CUST100223,26,97.46,2557.79,Month-to-month,Fiber optic,Credit card,No,2,3,1
CUST100224,15,44.48,661.64,Two year,No,Credit card,Yes,2,4,0
CUST100225,42,59.57,2605.78,Two year,No,Bank transfer,No,3,4,0
CUST100226,43,62.89,2765.08,Month-to-month,DSL,Bank transfer,No,0,4,0
CUST100227,18,103.55,1874.62,Month-to-month,Fiber optic,Credit card,No,3,4,0
CUST100228,68,78.86,5355.09,Month-to-month,DSL,Electronic check,No,1,4,1
CUST100229,21,86.18,1899.87,One year,Fiber optic,Bank transfer,No,0,5,0
CUST100230,42,47.24,1954.98,Month-to-month,No,Electronic check,No,1,3,1
CUST100231,26,86.61,2073.25,One year,Fiber optic,Electronic check,Yes,1,4,0
CUST100232,25,81.69,2075.9,One year,Fiber optic,Electronic check,Yes,1,4,0
CUST100233,4,111.05,438.92,One year,Fiber optic,Electronic check,Yes,5,2,1
CUST100234,7,58.41,420.92,Month-to-month,DSL,Electronic check,No,1,4,1
CUST100235,16,86.56,1355.22,Month-to-month,DSL,Bank transfer,Yes,1,3,1
CUST100236,42,74.74,2954.29,Month-to-month,DSL,Bank transfer,Yes,0,3,0
CUST100237,26,84.86,2217.96,Two year,Fiber optic,Credit card,Yes,0,4,0
CUST100238,16,63.99,1063.73,One year,No,Bank transfer,Yes,2,2,0
CUST100239,31,105.69,3052.89,One year,Fiber optic,Credit card,Yes,2,3,1
CUST100240,41,71.55,2768.26,One year,Fiber optic,Credit card,No,2,4,0
CUST100241,20,68.67,1304.36,Month-to-month,DSL,Credit card,No,1,2,0
CUST100242,24,62.04,1397.19,Month-to-month,DSL,Electronic check,No,2,3,1
CUST100243,21,66.56,1388.23,Month-to-month,DSL,Electronic check,No,0,3,1
CUST100244,19,86.74,1532.66,Month-to-month,Fiber optic,Mailed check,No,2,3,0
CUST100245,10,63.7,667.59,Month-to-month,DSL,Electronic check,No,5,3,1
CUST100246,9,103.06,873.69,Month-to-month,Fiber optic,Credit card,Yes,4,3,1
CUST100247,31,61.59,1768.77,One year,DSL,Mailed check,No,1,3,0
CUST100248,42,104.43,4225.53,Month-to-month,Fiber optic,Credit card,No,0,4,0
CUST100249,16,58.4,917.46,Month-to-month,DSL,Mailed check,No,3,1,1
CUST100250,16,84.23,1384.38,Month-to-month,Fiber optic,Credit card,Yes,1,3,0
CUST100251,3,103.4,310.24,Month-to-month,Fiber optic,Electronic check,Yes,4,3,1
CUST100252,2,84.08,176.21,Month-to-month,Fiber optic,Mailed check,Yes,0,5,0
CUST100253,49,71.48,3404.48,Month-to-month,DSL,Credit card,Yes,0,4,0
CUST100254,11,87.52,897.43,Month-to-month,Fiber optic,Mailed check,No,6,2,1
CUST100255,72,76.16,5694.06,Two year,DSL,Bank transfer,No,5,4,0
CUST100256,13,96.34,1245.65,Month-to-month,Fiber optic,Mailed check,No,2,3,1
CUST100257,4,73.0,288.02,Month-to-month,Fiber optic,Credit card,No,1,4,1
CUST100258,22,82.87,1784.19,Month-to-month,DSL,Bank transfer,No,0,4,1
CUST100259,35,89.41,2955.39,Month-to-month,Fiber optic,Credit card,No,3,4,0
CUST100260,32,45.59,1411.99,One year,DSL,Mailed check,No,3,3,0
CUST100261,37,48.94,1742.62,Month-to-month,DSL,Bank transfer,No,0,3,1
CUST100262,8,89.16,689.36,Two year,DSL,Mailed check,Yes,1,2,1
CUST100263,49,65.3,3058.5,Two year,DSL,Bank transfer,No,2,3,0
CUST100264,51,75.2,3777.85,One year,Fiber optic,Bank transfer,No,6,3,0
CUST100265,52,87.63,4636.93,Month-to-month,Fiber optic,Electronic check,Yes,2,4,0
CUST100266,24,81.19,2035.87,Month-to-month,Fiber optic,Bank transfer,No,5,3,1
CUST100267,15,26.42,370.72,Month-to-month,No,Mailed check,No,1,4,1
CUST100268,14,66.41,961.43,One year,Fiber optic,Electronic check,No,2,2,1
CUST100269,4,86.35,333.24,Month-to-month,Fiber optic,Bank transfer,Yes,3,2,1
CUST100270,13,70.01,898.7,One year,DSL,Bank transfer,Yes,1,4,0
CUST100271,1,55.62,52.01,Month-to-month,DSL,Bank transfer,No,6,3,1
CUST100272,4,42.26,158.53,Month-to-month,No,Credit card,No,2,4,0
CUST100273,24,83.16,2047.77,Month-to-month,Fiber optic,Mailed check,Yes,3,2,1
CUST100274,16,73.72,1163.97,Month-to-month,No,Credit card,No,1,3,1
CUST100275,23,62.84,1374.95,One year,DSL,Bank transfer,No,3,2,1
CUST100276,33,67.11,2303.15,One year,DSL,Mailed check,Yes,1,3,0
CUST100277,27,106.5,2967.82,Month-to-month,Fiber optic,Bank transfer,Yes,3,4,0
CUST100278,25,76.3,1848.91,Month-to-month,Fiber optic,Electronic check,Yes,1,4,1
CUST100279,19,118.75,2135.05,Two year,Fiber optic,Credit card,No,2,3,0
CUST100280,10,67.52,652.36,Month-to-month,DSL,Mailed check,No,2,2,0
CUST100281,6,83.08,503.5,One year,Fiber optic,Electronic check,No,2,3,0
CUST100282,13,81.05,1014.16,Month-to-month,Fiber optic,Bank transfer,No,1,3,1
CUST100283,19,99.54,1856.83,One year,Fiber optic,Electronic check,Yes,5,2,1
CUST100284,21,51.9,1137.3,One year,No,Electronic check,Yes,0,4,0
CUST100285,37,82.54,3183.69,Month-to-month,Fiber optic,Electronic check,No,2,3,1
CUST100286,18,98.58,1737.18,Month-to-month,Fiber optic,Credit card,No,0,4,0
CUST100287,30,65.6,2040.82,Month-to-month,DSL,Electronic check,No,1,4,1
CUST100288,5,54.04,262.14,Month-to-month,No,Mailed check,No,3,2,0
CUST100289,24,62.13,1465.28,One year,DSL,Mailed check,Yes,3,2,0
CUST100290,23,51.41,1120.45,Month-to-month,DSL,Credit card,Yes,1,3,0
CUST100291,49,92.88,4333.26,Month-to-month,Fiber optic,Credit card,No,2,4,0
CUST100292,16,90.55,1463.84,Two year,Fiber optic,Credit card,Yes,2,3,0
CUST100293,16,111.07,1814.96,Two year,Fiber optic,Mailed check,Yes,0,3,0
CUST100294,33,84.27,2764.74,Month-to-month,Fiber optic,Mailed check,No,1,2,0
CUST100295,7,80.48,565.19,One year,Fiber optic,Credit card,Yes,2,4,0
CUST100296,24,63.09,1454.32,Month-to-month,DSL,Electronic check,Yes,2,3,0
CUST100297,6,89.53,557.13,One year,Fiber optic,Electronic check,No,1,4,0
CUST100298,64,59.08,3818.54,Month-to-month,DSL,Credit card,No,3,1,0
CUST100299,14,105.86,1531.01,One year,Fiber optic,Electronic check,Yes,3,2,0
CUST100300,6,59.32,363.17,Month-to-month,No,Mailed check,No,1,3,0
CUST100301,13,52.06,663.91,Month-to-month,No,Electronic check,Yes,2,5,0
CUST100302,24,84.26,2037.55,Two year,Fiber optic,Electronic check,Yes,3,2,0
CUST100303,29,92.21,2508.52,Month-to-month,Fiber optic,Credit card,No,3,2,1
CUST100304,47,50.41,2292.36,Month-to-month,No,Electronic check,No,2,3,0
CUST100305,12,74.85,896.31,Month-to-month,No,Mailed check,Yes,1,3,0
CUST100306,34,89.14,2856.51,One year,Fiber optic,Electronic check,No,4,3,0
CUST100307,4,76.86,315.67,Month-to-month,Fiber optic,Mailed check,No,3,4,0
CUST100308,8,54.67,423.85,One year,No,Bank transfer,No,1,3,0
CUST100309,5,60.74,315.62,Month-to-month,DSL,Bank transfer,No,2,3,0
CUST100310,10,57.39,589.69,One year,DSL,Bank transfer,No,2,3,0
CUST100311,33,71.04,2239.21,Two year,Fiber optic,Mailed check,Yes,1,4,0
CUST100312,12,74.37,822.16,Month-to-month,No,Electronic check,Yes,1,3,1
CUST100313,14,82.5,1072.7,One year,DSL,Mailed check,Yes,3,3,1
CUST100314,24,56.88,1270.07,Month-to-month,DSL,Credit card,No,7,3,1
CUST100315,28,70.25,1884.19,Month-to-month,DSL,Credit card,No,2,2,1
CUST100316,14,85.63,1106.15,One year,Fiber optic,Electronic check,Yes,0,3,0
CUST100317,8,105.52,827.78,Two year,Fiber optic,Credit card,Yes,3,3,0
CUST100318,57,43.29,2457.22,Two year,DSL,Credit card,No,2,2,0
CUST100319,14,62.55,894.8,Two year,DSL,Credit card,Yes,0,5,0
CUST100320,16,50.04,829.28,Month-to-month,No,Credit card,No,1,3,1
CUST100321,17,61.33,962.86,One year,DSL,Credit card,No,0,3,0
CUST100322,30,73.28,2303.91,Month-to-month,Fiber optic,Electronic check,No,3,4,1
CUST100323,5,75.52,375.47,Two year,Fiber optic,Mailed check,No,1,3,0
CUST100324,72,51.63,3734.88,One year,DSL,Credit card,No,7,2,0
CUST100325,15,90.26,1285.15,Month-to-month,Fiber optic,Bank transfer,No,0,3,1
CUST100326,31,60.32,1835.89,Two year,DSL,Bank transfer,No,2,3,0
CUST100327,6,90.9,526.15,One year,Fiber optic,Mailed check,Yes,2,3,0
CUST100328,23,94.65,2117.13,Two year,Fiber optic,Electronic check,Yes,4,3,0
CUST100329,64,68.64,4251.21,One year,Fiber optic,Credit card,No,3,3,0
CUST100330,59,77.64,4312.0,Two year,DSL,Mailed check,Yes,0,5,0
