tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,support_tickets_90d,satisfaction_score,churn
14,83.9,1159.92,Two year,No,Credit card,Yes,0,5,0
16,98.38,1621.9,Two year,Fiber optic,Electronic check,No,1,3,0
9,77.91,686.97,One year,No,Electronic check,No,1,4,1
4,80.52,304.8,Month-to-month,DSL,Credit card,No,0,3,0
23,106.76,2526.86,One year,Fiber optic,Credit card,Yes,3,3,0
33,72.15,2204.85,Month-to-month,No,Bank transfer,Yes,2,1,0
15,43.66,653.07,Two year,No,Electronic check,No,2,3,0
36,68.47,2567.64,One year,DSL,Bank transfer,No,1,4,0
6,70.15,402.08,Month-to-month,DSL,Mailed check,Yes,2,2,1
9,77.77,666.88,Month-to-month,Fiber optic,Mailed check,No,3,3,0
22,63.01,1294.17,Month-to-month,DSL,Electronic check,No,0,4,0
14,70.08,966.76,Month-to-month,DSL,Electronic check,Yes,1,3,1
31,55.43,1723.25,Two year,DSL,Mailed check,No,1,4,0
28,100.91,2786.96,One year,Fiber optic,Electronic check,Yes,0,3,0
15,53.0,766.42,Month-to-month,DSL,Mailed check,No,0,5,0
7,60.57,413.75,Month-to-month,No,Electronic check,Yes,2,2,0
14,52.46,755.34,One year,No,Mailed check,No,4,3,0
28,93.42,2727.51,Month-to-month,Fiber optic,Credit card,Yes,0,2,0
32,91.45,2816.08,Month-to-month,Fiber optic,Bank transfer,No,3,4,0
14,83.01,1165.35,One year,Fiber optic,Electronic check,Yes,1,3,1
4,77.55,318.63,Month-to-month,DSL,Bank transfer,Yes,0,4,0
6,83.15,500.1,Month-to-month,Fiber optic,Electronic check,No,6,1,1
27,45.46,1271.16,Month-to-month,No,Mailed check,Yes,1,3,0
15,60.33,910.7,Month-to-month,DSL,Electronic check,No,2,4,1
15,84.47,1206.37,Two year,Fiber optic,Credit card,No,4,3,0
9,63.78,573.13,Two year,DSL,Electronic check,No,2,2,0
9,98.02,875.65,Two year,Fiber optic,Credit card,No,4,4,0
36,91.72,3183.09,Two year,Fiber optic,Bank transfer,Yes,1,4,0
28,76.08,1982.38,Month-to-month,Fiber optic,Mailed check,No,4,3,1
12,57.66,711.45,Month-to-month,DSL,Credit card,No,1,2,0
21,55.69,1196.38,One year,No,Mailed check,No,0,3,0
24,95.94,2126.81,Month-to-month,Fiber optic,Bank transfer,Yes,2,3,0
56,53.46,3036.49,Two year,DSL,Credit card,No,2,3,0
8,101.75,818.25,Month-to-month,Fiber optic,Electronic check,Yes,2,5,1
24,104.44,2424.59,Month-to-month,Fiber optic,Electronic check,No,1,4,1
36,65.71,2419.31,One year,DSL,Credit card,No,3,3,0
52,56.29,3008.48,Two year,No,Electronic check,Yes,1,4,0
12,56.59,700.73,One year,No,Credit card,Yes,1,3,0
15,66.8,931.93,One year,DSL,Electronic check,Yes,0,3,0
32,58.0,1798.5,Month-to-month,DSL,Mailed check,No,0,4,0
5,89.27,412.41,One year,Fiber optic,Mailed check,No,2,3,0
25,69.88,1773.14,One year,Fiber optic,Mailed check,Yes,1,3,0
70,52.25,3565.43,Month-to-month,No,Credit card,No,3,1,0
27,77.69,2134.08,One year,DSL,Electronic check,No,1,3,0
2,112.11,229.43,Month-to-month,Fiber optic,Bank transfer,Yes,2,5,0
10,105.21,976.95,Month-to-month,Fiber optic,Electronic check,Yes,5,3,1
12,81.64,1021.48,Two year,Fiber optic,Electronic check,Yes,1,3,1
41,95.32,3847.86,Month-to-month,DSL,Electronic check,Yes,5,3,1
18,86.16,1621.8,One year,Fiber optic,Bank transfer,No,3,2,1
4,77.17,289.45,Month-to-month,No,Bank transfer,No,0,5,1
19,75.44,1384.11,Two year,DSL,Electronic check,No,0,4,0
22,67.47,1454.13,Month-to-month,No,Credit card,Yes,1,4,0
13,80.72,1093.71,Month-to-month,Fiber optic,Mailed check,No,1,3,1
8,115.15,860.07,Two year,Fiber optic,Credit card,Yes,3,4,0
72,74.11,5289.41,One year,Fiber optic,Electronic check,No,5,3,0
36,82.37,2779.22,Month-to-month,Fiber optic,Bank transfer,No,0,4,0
38,45.66,1646.72,Month-to-month,No,Electronic check,No,3,3,0
18,56.41,1014.29,Month-to-month,No,Mailed check,No,1,3,0
11,95.99,1009.88,Two year,Fiber optic,Credit card,Yes,3,2,1
14,61.69,826.76,One year,DSL,Bank transfer,No,0,3,0
6,58.73,354.89,Two year,DSL,Mailed check,No,1,3,0
56,55.85,3206.32,Two year,DSL,Bank transfer,Yes,1,3,0
18,85.73,1426.46,Month-to-month,Fiber optic,Mailed check,No,0,2,1
48,91.23,4156.62,One year,Fiber optic,Electronic check,Yes,3,3,0
14,78.18,1081.87,One year,Fiber optic,Bank transfer,No,2,2,1
27,59.64,1671.92,Two year,No,Credit card,Yes,2,2,0
23,88.28,1965.98,One year,Fiber optic,Electronic check,Yes,1,4,0
5,73.27,350.8,Month-to-month,DSL,Bank transfer,No,0,4,1
60,66.48,3718.36,Two year,No,Credit card,No,3,4,0
15,82.69,1174.86,One year,Fiber optic,Bank transfer,No,1,4,0
7,86.59,596.78,Two year,Fiber optic,Mailed check,No,0,2,0
32,95.39,2924.99,Month-to-month,Fiber optic,Electronic check,No,5,2,1
20,56.09,1118.74,Month-to-month,DSL,Electronic check,No,2,3,1
26,67.81,1691.17,One year,DSL,Mailed check,Yes,1,4,0
21,90.34,1804.18,One year,Fiber optic,Bank transfer,No,3,3,1
2,106.62,214.05,Month-to-month,Fiber optic,Electronic check,No,1,2,1
10,70.29,713.03,Month-to-month,DSL,Mailed check,No,2,3,1
9,52.45,490.68,One year,DSL,Bank transfer,No,2,3,0
38,99.09,3741.04,Two year,Fiber optic,Electronic check,Yes,3,3,0
20,74.67,1557.9,Month-to-month,DSL,Bank transfer,No,0,4,1
29,87.47,2405.12,Month-to-month,Fiber optic,Bank transfer,No,2,3,0
15,92.05,1365.18,Month-to-month,Fiber optic,Bank transfer,Yes,2,5,1
30,96.1,2825.41,Month-to-month,Fiber optic,Mailed check,No,4,3,1
18,47.33,860.52,Month-to-month,DSL,Mailed check,No,1,4,1
17,77.21,1247.06,Month-to-month,DSL,Mailed check,No,3,2,0
23,71.02,1530.46,One year,DSL,Bank transfer,Yes,1,5,0
21,105.38,2162.03,Month-to-month,Fiber optic,Bank transfer,Yes,6,4,1
72,112.47,8166.78,Month-to-month,Fiber optic,Bank transfer,Yes,0,4,0
9,95.01,866.54,Two year,Fiber optic,Electronic check,Yes,0,3,0
5,83.24,419.38,Month-to-month,Fiber optic,Credit card,No,4,2,1
25,60.09,1508.53,One year,DSL,Electronic check,No,0,2,0
11,80.76,835.79,Month-to-month,DSL,Electronic check,No,1,2,1
2,93.49,191.26,Two year,Fiber optic,Electronic check,Yes,1,4,0
8,79.73,633.27,Two year,Fiber optic,Credit card,No,1,4,0
72,93.36,6243.53,Month-to-month,Fiber optic,Bank transfer,No,2,4,0
9,63.39,543.82,One year,DSL,Credit card,No,1,2,1
3,86.25,247.0,One year,Fiber optic,Bank transfer,No,2,4,0
72,84.0,5668.67,Month-to-month,DSL,Credit card,Yes,3,4,0
7,101.53,666.91,One year,Fiber optic,Bank transfer,No,3,3,1
72,82.92,6184.36,Month-to-month,Fiber optic,Bank transfer,No,4,4,1
15,82.0,1203.56,Month-to-month,Fiber optic,Electronic check,No,1,5,1
61,65.86,3912.35,Two year,Fiber optic,Bank transfer,No,3,3,0
16,82.16,1347.87,Month-to-month,DSL,Bank transfer,Yes,0,4,1
28,67.1,1817.33,Month-to-month,Fiber optic,Electronic check,No,2,3,1
18,88.69,1534.78,Month-to-month,Fiber optic,Electronic check,Yes,5,3,1
17,91.19,1467.65,Two year,Fiber optic,Electronic check,Yes,3,4,0
24,86.71,1938.28,Month-to-month,Fiber optic,Electronic check,Yes,2,2,1
28,28.21,747.06,Month-to-month,No,Bank transfer,No,0,2,0
23,45.58,1076.05,One year,No,Mailed check,No,2,3,0
21,96.13,2005.24,One year,Fiber optic,Credit card,Yes,2,3,0
11,97.4,1067.6,Month-to-month,Fiber optic,Mailed check,No,2,4,1
19,94.02,1728.93,Two year,DSL,Bank transfer,Yes,0,3,0
56,76.42,4210.41,Month-to-month,DSL,Bank transfer,Yes,0,4,0
10,67.25,676.26,One year,DSL,Bank transfer,No,3,3,0
24,93.17,2178.16,One year,Fiber optic,Electronic check,Yes,3,4,0
45,102.34,4435.28,Month-to-month,Fiber optic,Mailed check,Yes,1,4,0
28,82.92,2211.81,Two year,Fiber optic,Electronic check,No,3,2,1
38,98.42,3543.77,One year,Fiber optic,Bank transfer,Yes,2,4,0
7,79.85,555.72,Month-to-month,DSL,Electronic check,Yes,4,3,1
24,62.25,1388.41,Month-to-month,No,Mailed check,No,3,3,0
16,72.17,1086.31,Month-to-month,Fiber optic,Credit card,No,0,2,1
16,77.45,1235.32,Two year,DSL,Bank transfer,Yes,1,4,0
53,87.31,4742.4,Month-to-month,Fiber optic,Electronic check,No,0,3,0
17,58.76,953.36,Two year,Fiber optic,Mailed check,No,1,3,0
25,77.73,1790.09,Month-to-month,DSL,Bank transfer,No,3,3,0
3,97.89,295.68,Two year,Fiber optic,Credit card,No,0,3,0
60,36.99,2053.72,Two year,No,Credit card,No,1,4,0
37,55.66,1983.71,Month-to-month,No,Electronic check,No,0,4,1
19,94.41,1755.13,Month-to-month,Fiber optic,Credit card,Yes,3,3,0
15,79.22,1209.95,Two year,Fiber optic,Electronic check,No,3,2,0
30,79.64,2438.0,Month-to-month,Fiber optic,Electronic check,Yes,2,3,0
44,42.21,1809.49,Month-to-month,No,Electronic check,No,0,3,0
61,92.85,5854.23,Two year,Fiber optic,Electronic check,No,1,4,0
36,77.8,2715.98,Two year,DSL,Mailed check,No,0,3,0
21,91.22,1880.52,One year,Fiber optic,Electronic check,No,3,3,0
40,64.32,2499.43,Two year,DSL,Electronic check,No,3,3,0
35,105.5,3694.24,One year,Fiber optic,Electronic check,Yes,1,4,0
21,60.12,1227.7,One year,No,Credit card,No,1,2,0
34,31.99,1132.3,Month-to-month,DSL,Bank transfer,No,3,3,0
34,108.62,3801.33,One year,Fiber optic,Bank transfer,Yes,1,4,0
19,96.65,1782.36,One year,Fiber optic,Credit card,Yes,3,3,0
13,73.63,883.62,One year,DSL,Bank transfer,Yes,0,3,0
32,33.89,1074.74,Two year,DSL,Electronic check,No,3,4,0
8,74.35,565.93,Month-to-month,No,Credit card,Yes,1,3,0
6,92.61,534.32,One year,Fiber optic,Mailed check,No,5,2,1
25,56.29,1378.61,Month-to-month,No,Mailed check,No,3,3,0
31,82.66,2625.43,Month-to-month,Fiber optic,Credit card,Yes,1,5,0
25,70.34,1788.7,Month-to-month,No,Electronic check,Yes,1,4,0
27,55.36,1483.54,Two year,No,Electronic check,No,1,4,0
31,67.94,2137.15,Month-to-month,DSL,Credit card,No,2,2,1
53,49.67,2527.07,One year,No,Mailed check,Yes,3,5,0
36,91.64,3246.6,One year,Fiber optic,Mailed check,Yes,3,3,0
35,49.7,1616.47,Two year,DSL,Credit card,No,1,2,0
24,84.51,1879.73,One year,Fiber optic,Credit card,No,2,4,0
24,98.64,2227.39,Month-to-month,Fiber optic,Credit card,Yes,3,3,1
18,59.85,1096.3,Month-to-month,DSL,Electronic check,No,0,3,0
27,62.9,1765.99,One year,No,Credit card,Yes,1,3,0
8,38.34,306.82,Month-to-month,No,Bank transfer,No,0,2,0
53,82.88,4064.49,Month-to-month,DSL,Bank transfer,Yes,2,3,0
10,48.56,486.07,Month-to-month,No,Electronic check,No,0,4,1
36,59.15,2035.23,Month-to-month,DSL,Bank transfer,No,2,3,0
48,92.06,4570.54,Two year,DSL,Electronic check,Yes,0,4,0
36,98.95,3615.64,Two year,Fiber optic,Credit card,No,3,3,0
72,61.48,4280.39,One year,DSL,Bank transfer,Yes,3,3,0
2,78.68,153.77,Month-to-month,DSL,Bank transfer,Yes,1,3,1
14,61.25,869.0,Two year,DSL,Electronic check,Yes,0,4,0
48,60.69,3031.51,One year,DSL,Mailed check,No,1,4,0
6,68.3,392.92,Two year,No,Mailed check,No,2,4,0
10,54.23,553.22,Month-to-month,No,Credit card,Yes,1,4,0
29,82.6,2418.04,Month-to-month,DSL,Bank transfer,Yes,1,4,0
21,76.42,1526.33,One year,DSL,Electronic check,Yes,0,4,0
28,94.65,2524.32,Two year,DSL,Mailed check,No,0,4,0
22,102.23,2131.45,Month-to-month,DSL,Electronic check,Yes,0,4,0
24,62.02,1402.98,Month-to-month,DSL,Mailed check,No,2,2,1
11,44.28,467.83,One year,No,Mailed check,No,4,2,0
23,57.79,1245.18,Two year,No,Electronic check,No,1,4,0
14,81.64,1088.99,One year,DSL,Electronic check,Yes,1,4,0
16,65.2,1008.74,Two year,Fiber optic,Bank transfer,No,2,3,1
36,54.28,1938.92,One year,DSL,Mailed check,No,5,2,0
6,52.51,307.72,Two year,No,Electronic check,No,4,2,0
1,49.92,47.98,Month-to-month,No,Bank transfer,No,0,3,0
34,63.41,2015.98,Month-to-month,No,Mailed check,No,1,4,0
23,63.46,1449.33,One year,DSL,Electronic check,No,3,4,0
48,89.86,4439.32,One year,DSL,Electronic check,Yes,2,4,0
10,84.3,842.89,Month-to-month,Fiber optic,Electronic check,No,2,1,1
19,77.62,1465.41,Month-to-month,DSL,Credit card,Yes,0,3,1
21,84.54,1721.83,One year,Fiber optic,Electronic check,No,3,3,0
12,67.36,799.5,Two year,No,Credit card,No,2,4,1
9,96.02,870.38,Month-to-month,Fiber optic,Mailed check,Yes,1,5,0
35,59.06,1979.68,Two year,No,Bank transfer,Yes,1,5,0
5,76.57,399.66,Month-to-month,DSL,Credit card,Yes,0,3,1
8,113.16,835.45,Month-to-month,Fiber optic,Electronic check,Yes,0,4,1
18,63.74,1105.51,Month-to-month,DSL,Bank transfer,No,0,4,1
38,67.04,2668.89,Month-to-month,DSL,Electronic check,Yes,1,2,0
13,60.53,806.86,Month-to-month,DSL,Electronic check,No,2,3,1
11,73.24,747.03,One year,DSL,Credit card,Yes,0,5,0
17,55.44,911.31,One year,DSL,Electronic check,Yes,1,4,0
26,97.46,2557.79,Month-to-month,Fiber optic,Credit card,No,2,3,1
15,44.48,661.64,Two year,No,Credit card,Yes,2,4,0
42,59.57,2605.78,Two year,No,Bank transfer,No,3,4,0
43,62.89,2765.08,Month-to-month,DSL,Bank transfer,No,0,4,0
18,103.55,1874.62,Month-to-month,Fiber optic,Credit card,No,3,4,0
68,78.86,5355.09,Month-to-month,DSL,Electronic check,No,1,4,1
21,86.18,1899.87,One year,Fiber optic,Bank transfer,No,0,5,0
42,47.24,1954.98,Month-to-month,No,Electronic check,No,1,3,1
26,86.61,2073.25,One year,Fiber optic,Electronic check,Yes,1,4,0
25,81.69,2075.9,One year,Fiber optic,Electronic check,Yes,1,4,0
4,111.05,438.92,One year,Fiber optic,Electronic check,Yes,5,2,1
7,58.41,420.92,Month-to-month,DSL,Electronic check,No,1,4,1
16,86.56,1355.22,Month-to-month,DSL,Bank transfer,Yes,1,3,1
42,74.74,2954.29,Month-to-month,DSL,Bank transfer,Yes,0,3,0
26,84.86,2217.96,Two year,Fiber optic,Credit card,Yes,0,4,0
16,63.99,1063.73,One year,No,Bank transfer,Yes,2,2,0
31,105.69,3052.89,One year,Fiber optic,Credit card,Yes,2,3,1
41,71.55,2768.26,One year,Fiber optic,Credit card,No,2,4,0
20,68.67,1304.36,Month-to-month,DSL,Credit card,No,1,2,0
24,62.04,1397.19,Month-to-month,DSL,Electronic check,No,2,3,1
21,66.56,1388.23,Month-to-month,DSL,Electronic check,No,0,3,1
19,86.74,1532.66,Month-to-month,Fiber optic,Mailed check,No,2,3,0
10,63.7,667.59,Month-to-month,DSL,Electronic check,No,5,3,1
9,103.06,873.69,Month-to-month,Fiber optic,Credit card,Yes,4,3,1
31,61.59,1768.77,One year,DSL,Mailed check,No,1,3,0
42,104.43,4225.53,Month-to-month,Fiber optic,Credit card,No,0,4,0
16,58.4,917.46,Month-to-month,DSL,Mailed check,No,3,1,1
16,84.23,1384.38,Month-to-month,Fiber optic,Credit card,Yes,1,3,0
3,103.4,310.24,Month-to-month,Fiber optic,Electronic check,Yes,4,3,1
2,84.08,176.21,Month-to-month,Fiber optic,Mailed check,Yes,0,5,0
49,71.48,3404.48,Month-to-month,DSL,Credit card,Yes,0,4,0
11,87.52,897.43,Month-to-month,Fiber optic,Mailed check,No,6,2,1
72,76.16,5694.06,Two year,DSL,Bank transfer,No,5,4,0
13,96.34,1245.65,Month-to-month,Fiber optic,Mailed check,No,2,3,1
4,73.0,288.02,Month-to-month,Fiber optic,Credit card,No,1,4,1
22,82.87,1784.19,Month-to-month,DSL,Bank transfer,No,0,4,1
35,89.41,2955.39,Month-to-month,Fiber optic,Credit card,No,3,4,0
32,45.59,1411.99,One year,DSL,Mailed check,No,3,3,0
37,48.94,1742.62,Month-to-month,DSL,Bank transfer,No,0,3,1
8,89.16,689.36,Two year,DSL,Mailed check,Yes,1,2,1
49,65.3,3058.5,Two year,DSL,Bank transfer,No,2,3,0
51,75.2,3777.85,One year,Fiber optic,Bank transfer,No,6,3,0
52,87.63,4636.93,Month-to-month,Fiber optic,Electronic check,Yes,2,4,0
24,81.19,2035.87,Month-to-month,Fiber optic,Bank transfer,No,5,3,1
15,26.42,370.72,Month-to-month,No,Mailed check,No,1,4,1
14,66.41,961.43,One year,Fiber optic,Electronic check,No,2,2,1
4,86.35,333.24,Month-to-month,Fiber optic,Bank transfer,Yes,3,2,1
13,70.01,898.7,One year,DSL,Bank transfer,Yes,1,4,0
1,55.62,52.01,Month-to-month,DSL,Bank transfer,No,6,3,1
4,42.26,158.53,Month-to-month,No,Credit card,No,2,4,0
24,83.16,2047.77,Month-to-month,Fiber optic,Mailed check,Yes,3,2,1
16,73.72,1163.97,Month-to-month,No,Credit card,No,1,3,1
23,62.84,1374.95,One year,DSL,Bank transfer,No,3,2,1
33,67.11,2303.15,One year,DSL,Mailed check,Yes,1,3,0
27,106.5,2967.82,Month-to-month,Fiber optic,Bank transfer,Yes,3,4,0
25,76.3,1848.91,Month-to-month,Fiber optic,Electronic check,Yes,1,4,1
19,118.75,2135.05,Two year,Fiber optic,Credit card,No,2,3,0
10,67.52,652.36,Month-to-month,DSL,Mailed check,No,2,2,0
6,83.08,503.5,One year,Fiber optic,Electronic check,No,2,3,0
13,81.05,1014.16,Month-to-month,Fiber optic,Bank transfer,No,1,3,1
19,99.54,1856.83,One year,Fiber optic,Electronic check,Yes,5,2,1
21,51.9,1137.3,One year,No,Electronic check,Yes,0,4,0
37,82.54,3183.69,Month-to-month,Fiber optic,Electronic check,No,2,3,1
18,98.58,1737.18,Month-to-month,Fiber optic,Credit card,No,0,4,0
30,65.6,2040.82,Month-to-month,DSL,Electronic check,No,1,4,1
5,54.04,262.14,Month-to-month,No,Mailed check,No,3,2,0
24,62.13,1465.28,One year,DSL,Mailed check,Yes,3,2,0
23,51.41,1120.45,Month-to-month,DSL,Credit card,Yes,1,3,0
49,92.88,4333.26,Month-to-month,Fiber optic,Credit card,No,2,4,0
16,90.55,1463.84,Two year,Fiber optic,Credit card,Yes,2,3,0
16,111.07,1814.96,Two year,Fiber optic,Mailed check,Yes,0,3,0
33,84.27,2764.74,Month-to-month,Fiber optic,Mailed check,No,1,2,0
7,80.48,565.19,One year,Fiber optic,Credit card,Yes,2,4,0
24,63.09,1454.32,Month-to-month,DSL,Electronic check,Yes,2,3,0
6,89.53,557.13,One year,Fiber optic,Electronic check,No,1,4,0
64,59.08,3818.54,Month-to-month,DSL,Credit card,No,3,1,0
14,105.86,1531.01,One year,Fiber optic,Electronic check,Yes,3,2,0
6,59.32,363.17,Month-to-month,No,Mailed check,No,1,3,0
13,52.06,663.91,Month-to-month,No,Electronic check,Yes,2,5,0
24,84.26,2037.55,Two year,Fiber optic,Electronic check,Yes,3,2,0
29,92.21,2508.52,Month-to-month,Fiber optic,Credit card,No,3,2,1
47,50.41,2292.36,Month-to-month,No,Electronic check,No,2,3,0
12,74.85,896.31,Month-to-month,No,Mailed check,Yes,1,3,0
34,89.14,2856.51,One year,Fiber optic,Electronic check,No,4,3,0
4,76.86,315.67,Month-to-month,Fiber optic,Mailed check,No,3,4,0
8,54.67,423.85,One year,No,Bank transfer,No,1,3,0
5,60.74,315.62,Month-to-month,DSL,Bank transfer,No,2,3,0
10,57.39,589.69,One year,DSL,Bank transfer,No,2,3,0
33,71.04,2239.21,Two year,Fiber optic,Mailed check,Yes,1,4,0
12,74.37,822.16,Month-to-month,No,Electronic check,Yes,1,3,1
14,82.5,1072.7,One year,DSL,Mailed check,Yes,3,3,1
24,56.88,1270.07,Month-to-month,DSL,Credit card,No,7,3,1
28,70.25,1884.19,Month-to-month,DSL,Credit card,No,2,2,1
14,85.63,1106.15,One year,Fiber optic,Electronic check,Yes,0,3,0
8,105.52,827.78,Two year,Fiber optic,Credit card,Yes,3,3,0
57,43.29,2457.22,Two year,DSL,Credit card,No,2,2,0
14,62.55,894.8,Two year,DSL,Credit card,Yes,0,5,0
16,50.04,829.28,Month-to-month,No,Credit card,No,1,3,1
17,61.33,962.86,One year,DSL,Credit card,No,0,3,0
30,73.28,2303.91,Month-to-month,Fiber optic,Electronic check,No,3,4,1
5,75.52,375.47,Two year,Fiber optic,Mailed check,No,1,3,0
72,51.63,3734.88,One year,DSL,Credit card,No,7,2,0
15,90.26,1285.15,Month-to-month,Fiber optic,Bank transfer,No,0,3,1
31,60.32,1835.89,Two year,DSL,Bank transfer,No,2,3,0
6,90.9,526.15,One year,Fiber optic,Mailed check,Yes,2,3,0
23,94.65,2117.13,Two year,Fiber optic,Electronic check,Yes,4,3,0
64,68.64,4251.21,One year,Fiber optic,Credit card,No,3,3,0
59,77.64,4312.0,Two year,DSL,Mailed check,Yes,0,5,0
31,109.15,3257.83,Month-to-month,Fiber optic,Bank transfer,No,5,3,1
9,71.87,657.23,Month-to-month,DSL,Electronic check,Yes,2,4,0
45,90.19,3877.45,One year,Fiber optic,Credit card,Yes,2,3,0
4,55.56,225.92,Month-to-month,No,Electronic check,No,3,3,1
9,71.44,630.37,Month-to-month,DSL,Credit card,Yes,1,2,1
19,68.72,1366.23,Two year,DSL,Electronic check,Yes,2,4,0
4,44.9,173.66,Two year,No,Credit card,No,3,3,0
13,64.67,878.84,Two year,No,Mailed check,Yes,1,4,0
35,52.18,1691.99,Month-to-month,No,Credit card,Yes,0,5,0
11,85.45,876.77,Month-to-month,Fiber optic,Bank transfer,Yes,1,4,1
36,96.73,3321.21,Two year,Fiber optic,Electronic check,No,2,2,1
72,58.85,4383.98,Month-to-month,DSL,Electronic check,No,2,3,0
27,57.12,1565.73,Month-to-month,DSL,Bank transfer,No,2,3,0
36,66.32,2281.35,Month-to-month,DSL,Bank transfer,Yes,2,3,0
46,49.86,2112.46,Two year,DSL,Mailed check,No,3,3,0
14,80.35,1154.82,Month-to-month,Fiber optic,Electronic check,No,0,4,0
35,97.6,3521.68,Month-to-month,Fiber optic,Credit card,Yes,4,3,1
14,61.65,823.27,Month-to-month,DSL,Bank transfer,No,2,3,1
25,83.17,1919.38,Month-to-month,DSL,Bank transfer,No,1,3,0
39,67.14,2739.49,One year,No,Mailed check,Yes,0,3,0
10,75.36,729.73,One year,DSL,Mailed check,Yes,0,4,0
1,87.93,83.5,One year,Fiber optic,Mailed check,No,1,2,0
9,91.0,856.44,Month-to-month,Fiber optic,Electronic check,Yes,0,4,0
43,85.5,3737.4,Month-to-month,Fiber optic,Credit card,Yes,0,4,0
8,91.9,692.43,Month-to-month,Fiber optic,Mailed check,Yes,3,4,1
41,48.53,1948.96,Two year,DSL,Mailed check,Yes,1,4,0
9,52.42,459.88,Month-to-month,DSL,Mailed check,Yes,2,3,0
17,78.18,1290.39,Month-to-month,No,Mailed check,Yes,0,4,0
20,80.6,1624.34,Month-to-month,DSL,Bank transfer,No,3,2,1
8,69.25,519.0,Two year,Fiber optic,Bank transfer,Yes,1,3,0
17,61.67,1024.55,One year,DSL,Credit card,No,3,4,0
4,80.06,317.06,Month-to-month,Fiber optic,Electronic check,No,5,2,1
15,84.51,1268.89,One year,Fiber optic,Credit card,No,2,2,0
19,59.4,1060.32,Month-to-month,DSL,Credit card,No,0,4,0
1,95.76,98.45,One year,Fiber optic,Credit card,No,3,2,1
9,81.73,729.91,Two year,Fiber optic,Electronic check,Yes,2,4,0
25,85.2,2225.02,One year,DSL,Mailed check,Yes,0,4,0
7,63.84,432.48,Two year,DSL,Credit card,No,2,3,0
28,68.76,2000.38,Month-to-month,Fiber optic,Bank transfer,No,4,3,0
30,69.76,1951.65,Month-to-month,DSL,Electronic check,Yes,0,5,0
25,81.44,2130.13,One year,Fiber optic,Credit card,No,3,3,0
35,68.04,2431.37,One year,DSL,Credit card,No,3,3,0
4,79.97,312.35,Month-to-month,DSL,Credit card,No,4,3,0
40,62.62,2329.29,Month-to-month,DSL,Mailed check,No,2,5,1
8,84.04,688.88,Month-to-month,DSL,Bank transfer,Yes,1,4,0
22,77.05,1652.37,Month-to-month,Fiber optic,Bank transfer,Yes,3,3,0
63,100.01,6315.17,Two year,Fiber optic,Mailed check,Yes,1,3,0
15,54.85,803.81,Month-to-month,DSL,Credit card,Yes,0,4,0
20,79.04,1500.95,Two year,Fiber optic,Electronic check,No,0,4,0
8,79.72,593.28,Month-to-month,Fiber optic,Electronic check,No,2,3,1
62,77.65,5047.26,One year,DSL,Credit card,No,4,2,0
9,96.52,827.97,Two year,Fiber optic,Electronic check,Yes,2,4,0
32,68.71,2151.76,One year,DSL,Electronic check,Yes,1,3,0
46,82.13,3756.15,Two year,DSL,Credit card,Yes,0,3,0
34,59.96,2082.29,Month-to-month,DSL,Credit card,Yes,0,5,0
26,70.22,1744.75,Month-to-month,No,Credit card,No,1,3,0
